strategy,runs,wins,win_rate,ci_lo,ci_hi,deathless_rate,avg_deaths,sd_deaths,avg_encounters,avg_rounds,avg_retreats,avg_afflictions,avg_survivor_stress
shuffle_bruisers,2000,1574,0.787,0.768514596294461,0.8043849782028448,0.763,0.8765,1.6329669440990677,3.787,15.591,1.359,0.536,2.438797119864464
all_damage_no_healer,2000,1557,0.7785,0.7597762912939947,0.7961558742025197,0.651,1.025,1.6302465616973145,3.778,15.1955,1.0805,0.35,2.7133376150717177
glass_cannon_rush,2000,1417,0.7085,0.6881980760819897,0.7280024858785965,0.6565,1.2185,1.7984368038573708,3.707,16.52,1.369,0.644,2.6984239002587636
classic_stress_first,2000,1063,0.5315,0.5095905653462939,0.5532886562448737,0.523,1.8825,1.9906469017743424,3.5285,20.791,2.374,1.1205,2.2004546879899656
classic_aoe,2000,1014,0.507,0.4850962708720501,0.5288768894815428,0.491,1.991,1.9876857013179203,3.5065,20.7765,2.3885,1.162,2.701758711374095
classic_balanced,2000,988,0.494,0.4721206252401644,0.5159023801710417,0.482,2.036,1.9911520140791792,3.492,21.6385,2.6135,1.2485,2.4210526315789473
backline_artillery,2000,769,0.3845,0.3634199341302276,0.40602292003549084,0.373,2.4745,1.934223451460618,3.384,24.8085,3.1645,1.4745,3.3181621153012575
blight_party,2000,377,0.1885,0.17196201967825808,0.20623234458686152,0.1775,3.2575,1.5447934954134568,3.178,27.554,3.765,1.867,3.577807250221043
bleed_party,2000,367,0.1835,0.16714782955695764,0.20106570588416708,0.1735,3.2765,1.530104035410541,3.182,26.352,3.687,1.8405,3.417120799273388
mark_backline_purge,2000,328,0.164,0.14841888040129414,0.1808694226262506,0.163,3.345,1.4795504502271468,3.1565,28.753,4.3565,2.0885,2.326473577235772
mark_execute,2000,316,0.158,0.14267205201094874,0.17463925642780215,0.1575,3.3685,1.4583453416690462,3.152,27.71,3.9935,1.9745,2.6724683544303796
double_healer_turtle,2000,102,0.051,0.04218982272001876,0.061531748885241856,0.051,3.796,0.8802109893047386,3.022,32.2555,5.1885,2.4465,1.7990196078431373
classic_stunlock,2000,31,0.0155,0.010940903471396528,0.021916783483500506,0.0155,3.938,0.49424501926629144,2.9815,30.0885,4.6165,2.3845,1.6693548387096775
stun_wall,2000,0,0.0,1.0842021724855044e-19,0.0019171176005129348,0.0,4.0,0.0,2.201,34.9455,6.3025,2.1695,0.0
